CIPCode,CIPArea,CIPTitle,CIPDefinition
01.0101,01,"Agricultural Business and Management, General.","A  general program that focuses on modern business and economic principles involved in the organization, operation, and management of agricultural enterprises."
01.0102,01,Agribusiness/Agricultural Business Operations.,"A program that prepares individuals to manage agricultural businesses and agriculturally related operations within diversified corporations.  Includes instruction in agriculture, agricultural specialization, business management, accounting, finance, marketing, planning, human resources management, and other managerial responsibilities."
01.0103,01,Agricultural Economics.,"A program that focuses on the application of economics to the analysis of resource allocation, productivity, investment, and trends in the agricultural sector, both domestically and internationally.  Includes instruction in economics and related subfields as well as applicable agricultural fields."
01.0104,01,Farm/Farm and Ranch Management.,"A program that prepares individuals to manage farms, ranches, and similar enterprises.  Includes instruction in applicable agricultural specialization, business management, accounting, taxation, capitalization, purchasing, government programs and regulations, operational planning and budgeting, contracts and negotiation, and estate planning."
01.0105,01,Agricultural/Farm Supplies Retailing and Wholesaling.,"A program  that prepares individuals to sell agricultural products and supplies, provide support services to agricultural enterprises, and purchase and market agricultural products.  Includes instruction in basic business management, marketing, retailing and wholesaling operations, and applicable principles of agriculture and agricultural operations."
01.0106,01,Agricultural Business Technology/Technician.,"A program that prepares individuals to perform specialized support functions related to agricultural business offices and operations and to operate agricultural office equipment, software, and information systems.  Includes instruction in basic agricultural business principles, office management, equipment operation, standard software, and database management."
01.0201,01,"Agricultural Mechanization, General.","A program that generally prepares individuals to sell, select, and service agricultural or agribusiness technical equipment and facilities, including computers, specialized software, power units, machinery, equipment structures, and utilities.  Includes instruction in agricultural power systems, planning and selecting materials for the construction of support facilities, mechanical practices associated with irrigation and water conservation, erosion control, and agricultural data processing systems."
01.0204,01,Agricultural Power Machinery Operation.,"A program that prepares individuals to operate specialized farm, ranch, and agribusiness power equipment of a stationary, mobile, or hand-operated nature. Includes instruction in operating specialized equipment such as terrestrial and airborne crop-spraying equipment; tractors and hauling equipment; planting and harvesting equipment; cutting equipment; power sources and systems for silos, irrigation, pumping, and applications such as dairy, feeding and shearing operations; processing equipment; and applicable electrical, mechanical, and safety principles."
01.0205,01,Agricultural Mechanics and Equipment/Machine Technology/Technician.,"A program that prepares individuals to maintain and repair specialized farm, ranch, and agribusiness power equipment and vehicles.  Includes instruction in the principles of diesel, combustion, electrical, steam, hydraulic, and mechanical systems and their application to the maintenance of terrestrial and airborne crop-spraying equipment; tractors and hauling equipment; planting and harvesting equipment; cutting equipment; power sources and systems for silos; irrigation and pumping equipment; dairy, feeding, and shearing operations; and processing systems."
01.0207,01,Irrigation Management Technology/Technician.,"A program that prepares individuals for employment in the field of agricultural technology and irrigation. Includes instruction in irrigation and drainage methodologies, pumping and delivery systems, system design and evaluation, and principles of installation and repair of irrigation systems."
01.0301,01,"Agricultural Production Operations, General.","A program that focuses on the general planning, economics, and use of facilities, natural resources, equipment, labor, and capital to produce plant and animal products, and that may prepare individuals for work in farming, ranching, and agribusiness."
01.0302,01,Animal/Livestock Husbandry and Production.,"A program that prepares individuals to select, breed, care for, process, and market livestock and small farm animals.  Includes instruction in basic animal science, animal nutrition, and animal health as applied to various species and breeds; design and operation of housing, feeding, and processing facilities; and related issues of safety, applicable regulations, logistics, and supply."
01.0303,01,Aquaculture.,"A program that prepares individuals to select, culture, propagate, harvest, and market domesticated fish, shellfish, and marine plants, both freshwater and saltwater.  Includes instruction in the basic principles of aquatic and marine biology; health and nutrition of aquatic and marine life; design and operation of fish farms, breeding facilities, culture beds, and related enterprises; and related issues of safety, applicable regulations, logistics, and supply."
01.0304,01,Crop Production.,"A program that prepares individuals to cultivate grain, fiber, forage, oilseed, fruits and nuts, vegetables, and other domesticated plant products.  Includes instruction in basic principles of plant science, health, and nutrition as applied to particular species and breeds; soil preparation and irrigation; pest management; planting and harvesting operations; product marketing; and applicable issues of safety, regulation, logistics, and supply."
01.0306,01,Dairy Husbandry and Production.,"A program that prepares individuals to manage the selection and care of dairy animals and associated dairy farm and processing facilities and operations.  Includes instruction in basic animal and dairy science; dairy animal nutrition and health; design and operation of dairy housing, feeding, and processing facilities and equipment; and related issues of safety, sanitation, shipping and handling, and applicable regulations."
01.0307,01,Horse Husbandry/Equine Science and Management.,"A program that prepares individuals to manage the selection, breeding, care, and maintenance of work, athletic, and show horses; and to manage horse farms, stables, tracks and related equipment and operations.  Includes instruction in applicable principles of animal science, care, and health; stable and track management; design and operation of facilities and equipment; and related issues such as regulations, business management; and logistics."
01.0308,01,Agroecology and Sustainable Agriculture.,"A program that focuses on agricultural principles and practices that, over the long term, enhance environmental quality, make efficient use of nonrenewable resources, integrate natural biological cycles and controls, and are economically viable and socially responsible; and that may prepare individuals to apply this knowledge to the solution of agricultural and environmental problems. Includes instruction in principles of agroecology, crop and soil sciences, entomology, horticulture, animal science, weed science and management, soil fertility and nutrient cycling, applied ecology, agricultural economics, and rangeland ecology and watershed management."
01.0310,01,Apiculture.,"A program that focuses on improving the beekeeping industry, promoting pollination of fruits and vegetables, and bee colony expansion and maintenance. Includes instruction in apiary behavior, apiary equipment and supplies, beekeeping, bee pests and parasites, handling bees, hive set up and care, queen rearing, and seasonal management practices."
