model,fold,split,accuracy,balanced_accuracy,macro_f1
logistic_regression,1,train,1.0,1.0,1.0
logistic_regression,1,test,0.9130434782608695,0.8971865313684535,0.8929711471154246
logistic_regression_pca95,1,train,1.0,1.0,1.0
logistic_regression_pca95,1,test,0.9209486166007905,0.9119250537156717,0.9019726581430715
svm_rbf,1,train,0.9970326409495549,0.9992833253702819,0.9980808041684746
svm_rbf,1,test,0.9130434782608695,0.9019403302011998,0.9076504253394164
svm_rbf_pca95,1,train,0.9970326409495549,0.9986526516961299,0.9975469951482177
svm_rbf_pca95,1,test,0.9169960474308301,0.912809895418591,0.9153331773699946
dnn_mlp,1,train,1.0,1.0,1.0
dnn_mlp,1,test,0.9169960474308301,0.899205866597171,0.9018750563635475
dnn_mlp_early_stopping,1,train,0.9950544015825915,0.9962694322880251,0.9953134046203371
dnn_mlp_early_stopping,1,test,0.9130434782608695,0.8950520493998753,0.8955168663864318
logistic_regression,2,train,1.0,1.0,1.0
logistic_regression,2,test,0.9011857707509882,0.8832837557317709,0.884721691381153
logistic_regression_pca95,2,train,1.0,1.0,1.0
logistic_regression_pca95,2,test,0.8932806324110671,0.8724141905143795,0.8724706794783653
svm_rbf,2,train,0.9950544015825915,0.9983145167747618,0.996586271693637
svm_rbf,2,test,0.8932806324110671,0.8464566335785618,0.869772809638825
svm_rbf_pca95,2,train,0.9940652818991098,0.9974620018557507,0.9956442849118387
svm_rbf_pca95,2,test,0.8893280632411067,0.8428334451727647,0.8607537576167027
dnn_mlp,2,train,1.0,1.0,1.0
dnn_mlp,2,test,0.8695652173913043,0.8346451962236463,0.8378093939019639
dnn_mlp_early_stopping,2,train,0.9930761622156281,0.9926628736778993,0.9929420249634048
dnn_mlp_early_stopping,2,test,0.8695652173913043,0.8195722755505362,0.8278695932527402
logistic_regression,3,train,1.0,1.0,1.0
logistic_regression,3,test,0.9130434782608695,0.9310709034716598,0.9113426575555641
logistic_regression_pca95,3,train,1.0,1.0,1.0
logistic_regression_pca95,3,test,0.924901185770751,0.9356392714615778,0.9171414735326898
svm_rbf,3,train,0.9980217606330366,0.9995195772279607,0.9985188223498314
svm_rbf,3,test,0.8932806324110671,0.874549164341225,0.8748120340665978
svm_rbf_pca95,3,train,0.9980217606330366,0.9995195772279607,0.9985188223498314
svm_rbf_pca95,3,test,0.8972332015810277,0.890443184204999,0.883907978417266
dnn_mlp,3,train,1.0,1.0,1.0
dnn_mlp,3,test,0.9011857707509882,0.9081030395775196,0.8847416494704153
dnn_mlp_early_stopping,3,train,0.9792284866468842,0.9785618815418003,0.9781732335127977
dnn_mlp_early_stopping,3,test,0.8537549407114624,0.8335861313649594,0.8281440668995464
logistic_regression,4,train,1.0,1.0,1.0
logistic_regression,4,test,0.932806324110672,0.92319096172071,0.9211392556183253
logistic_regression_pca95,4,train,1.0,1.0,1.0
logistic_regression_pca95,4,test,0.9486166007905138,0.9507440627005844,0.9443646636578988
svm_rbf,4,train,0.9960435212660732,0.9979280140149706,0.997132253261691
svm_rbf,4,test,0.932806324110672,0.9112513090773959,0.9155510792945292
svm_rbf_pca95,4,train,0.9960435212660732,0.9979280140149706,0.9973321533116658
svm_rbf_pca95,4,test,0.9288537549407114,0.9134919650651916,0.9093198275987835
dnn_mlp,4,train,1.0,1.0,1.0
dnn_mlp,4,test,0.924901185770751,0.9043877238957331,0.9064340634970279
dnn_mlp_early_stopping,4,train,0.9930761622156281,0.9908823712608108,0.9909591111905323
dnn_mlp_early_stopping,4,test,0.9209486166007905,0.8995183782655178,0.9077835012628593
logistic_regression,5,train,1.0,1.0,1.0
logistic_regression,5,test,0.9365079365079365,0.9236318029796291,0.9233465651896229
logistic_regression_pca95,5,train,1.0,1.0,1.0
logistic_regression_pca95,5,test,0.9365079365079365,0.9201380141597532,0.9272779532823927
svm_rbf,5,train,0.9940711462450593,0.9974502309284918,0.9956324479409319
svm_rbf,5,test,0.9285714285714286,0.9115587311239486,0.9168332837314097
svm_rbf_pca95,5,train,0.9940711462450593,0.9974502309284918,0.9956324479409319
svm_rbf_pca95,5,test,0.9325396825396826,0.9202543832978616,0.9245627523304435
dnn_mlp,5,train,1.0,1.0,1.0
dnn_mlp,5,test,0.9246031746031746,0.903541446476229,0.9095055322389677
dnn_mlp_early_stopping,5,train,0.9901185770750988,0.9902298957807938,0.987848724992885
dnn_mlp_early_stopping,5,test,0.8928571428571429,0.8590494650277257,0.8745159429942039
